genre,average_rating,total_shows,average_duration
"Cult Movies",8.1818,8,108.9545
"Sci-Fi & Fantasy",7.8421,10,109.6316
"Children & Family Movies",6.1590,322,82.4154
"Classic Movies",6.1587,48,107.2143
"Kids' TV",5.8537,274,1.9568
"Anime Features",5.5000,10,87.5000
"Sports Movies",5.0000,1,87.0000
"Action & Adventure",4.9870,532,113.9703
Movies,4.8125,48,42.7708
"Independent Movies",4.6286,16,97.8000
"Horror Movies",4.6041,185,96.9213
"Stand-Up Comedy",4.4189,265,66.5774
Dramas,4.3927,994,112.5500
Comedies,4.0108,730,107.0812
Thrillers,3.9189,37,94.7027
Documentaries,3.9128,634,82.6453
"Music & Musicals",3.8889,12,92.5000
"TV Action & Adventure",3.8451,28,3.1690
"International Movies",3.7953,77,111.4152
"British TV Shows",3.6329,205,1.8287
Docuseries,3.6129,144,1.3952
"Classic & Cult TV",3.5098,19,5.5686
"Reality TV",3.4079,61,1.4737
"TV Comedies",3.3206,86,3.0305
"Anime Series",3.2521,110,1.5661
"Crime TV Shows",3.1337,302,1.7372
"Stand-Up Comedy & Talk Shows",3.1176,28,2.1176
"TV Horror",2.9565,8,2.8261
"TV Dramas",2.7813,54,2.9063
"TV Shows",2.7000,10,1.0000
"International TV Shows",2.5336,546,1.3174
"Romantic Movies",2.5000,2,83.0000
"Romantic TV Shows",2.1400,19,3.6000
"TV Sci-Fi & Fantasy",1.0000,1,3.0000
"Spanish-Language TV Shows",1.0000,1,1.0000
