release_year,genre,average_rating,total_shows
2020,Docuseries,4.0000,1
2019,"Kids' TV",5.5283,53
2019,"Children & Family Movies",5.0541,37
2019,"Independent Movies",4.5000,2
2019,Movies,4.2000,5
2019,"Anime Features",4.0000,1
2019,"Reality TV",3.9565,23
2019,"British TV Shows",3.8462,26
2019,"Action & Adventure",3.8400,25
2019,Dramas,3.7260,73
2019,"Anime Series",3.7059,17
2019,"Stand-Up Comedy",3.6667,42
2019,"Crime TV Shows",3.4625,80
2019,Comedies,3.4068,59
2019,"Stand-Up Comedy & Talk Shows",3.4000,5
2019,"TV Comedies",3.3333,36
2019,"International Movies",3.3000,10
2019,Documentaries,3.2727,66
2019,"TV Action & Adventure",3.0000,13
2019,"Horror Movies",2.9500,20
2019,Docuseries,2.9412,34
2019,"International TV Shows",2.9118,102
2019,"TV Dramas",2.6923,13
2019,"TV Shows",2.5000,2
2019,Thrillers,2.2857,7
2019,"TV Horror",2.2000,5
2019,"Romantic TV Shows",1.7500,4
2019,"Classic & Cult TV",1.0000,2
2018,"Children & Family Movies",7.0000,49
2018,"Anime Features",6.5000,2
2018,"Kids' TV",6.2679,56
2018,"Cult Movies",6.0000,1
2018,Movies,4.7000,10
2018,"TV Action & Adventure",4.6250,8
2018,"Action & Adventure",4.4776,67
2018,"Independent Movies",4.4000,5
2018,"Classic & Cult TV",4.0000,2
2018,"International Movies",4.0000,9
2018,"Romantic Movies",4.0000,1
2018,"TV Horror",4.0000,1
2018,"Stand-Up Comedy",3.8772,57
2018,"Horror Movies",3.7692,39
2018,"Music & Musicals",3.7500,4
2018,"Sci-Fi & Fantasy",3.7500,4
2018,"British TV Shows",3.6316,38
2018,"Crime TV Shows",3.5443,79
2018,Dramas,3.4650,157
2018,Docuseries,3.4545,44
2018,"TV Comedies",3.3182,22
2018,Comedies,3.2636,110
2018,"Romantic TV Shows",3.2500,4
2018,Documentaries,3.1759,108
2018,"TV Dramas",3.0909,11
2018,"Anime Series",3.0870,23
2018,"Stand-Up Comedy & Talk Shows",3.0000,14
2018,"Reality TV",2.9286,14
2018,"International TV Shows",2.8936,94
2018,Thrillers,2.1429,7
2017,"Anime Features",7.0000,1
2017,"Kids' TV",5.6042,48
2017,"Children & Family Movies",5.2308,39
2017,"Sports Movies",5.0000,1
2017,"Horror Movies",4.3056,36
2017,"Action & Adventure",4.1233,73
2017,"Classic & Cult TV",4.0000,1
2017,Docuseries,4.0000,20
2017,"Independent Movies",4.0000,4
2017,Comedies,3.8396,106
2017,"Stand-Up Comedy",3.8036,56
2017,"TV Comedies",3.7778,9
2017,"Anime Series",3.6667,9
2017,Movies,3.6667,3
2017,"Stand-Up Comedy & Talk Shows",3.6667,6
2017,"International Movies",3.5385,13
2017,Dramas,3.5298,151
2017,Documentaries,3.4000,160
2017,"Reality TV",3.3333,3
2017,Thrillers,3.2857,7
2017,"British TV Shows",2.8611,36
2017,"Crime TV Shows",2.8545,55
2017,"International TV Shows",2.8358,67
2017,"TV Dramas",2.5333,15
2017,"Music & Musicals",2.5000,2
2017,"Romantic Movies",1.0000,1
2017,"Romantic TV Shows",1.0000,1
2017,"TV Sci-Fi & Fantasy",1.0000,1
2017,"TV Shows",1.0000,2
2016,"Children & Family Movies",6.1282,39
2016,"Anime Features",6.0000,3
2016,Thrillers,5.3333,6
2016,"Kids' TV",5.2857,35
2016,"Horror Movies",5.1364,22
2016,Dramas,4.8494,166
2016,"Action & Adventure",4.8413,63
2016,Movies,4.6667,6
2016,"TV Action & Adventure",4.5000,2
2016,Comedies,4.3646,96
2016,"Music & Musicals",4.2500,4
2016,"Classic & Cult TV",4.0000,1
2016,"Independent Movies",4.0000,1
2016,Documentaries,3.9618,131
2016,"Stand-Up Comedy",3.8824,34
2016,"International Movies",3.7500,12
2016,"British TV Shows",3.4828,29
2016,Docuseries,3.3889,18
2016,"TV Comedies",3.1667,6
2016,"Anime Series",3.1429,7
2016,"Reality TV",3.1000,10
2016,"Crime TV Shows",3.0303,33
2016,"TV Dramas",2.5000,2
2016,"International TV Shows",2.2500,84
2016,"Romantic TV Shows",1.6000,5
2016,"Spanish-Language TV Shows",1.0000,1
2016,"Stand-Up Comedy & Talk Shows",1.0000,1
2015,"Cult Movies",12.0000,1
2015,"TV Action & Adventure",12.0000,1
2015,"Anime Features",10.0000,1
2015,"Sci-Fi & Fantasy",10.0000,1
2015,Thrillers,7.3333,3
2015,"Horror Movies",6.8333,12
2015,"TV Shows",6.0000,1
2015,Dramas,5.8257,109
2015,Documentaries,5.1385,65
2015,"International Movies",4.8889,9
2015,Comedies,4.8182,66
2015,"Action & Adventure",4.7907,43
2015,"Kids' TV",4.6250,16
2015,"Children & Family Movies",4.5294,17
2015,"Stand-Up Comedy",4.3333,15
2015,"Stand-Up Comedy & Talk Shows",4.0000,1
2015,"TV Horror",4.0000,2
2015,"TV Comedies",3.6667,6
2015,Movies,3.4000,5
2015,"British TV Shows",3.3182,22
2015,"Anime Series",3.2500,8
2015,Docuseries,3.2500,4
2015,"International TV Shows",2.3651,63
2015,"Crime TV Shows",2.3158,19
2015,"TV Dramas",2.0000,4
2015,"Reality TV",1.5000,2
2015,"Classic & Cult TV",1.0000,1
2014,"Sci-Fi & Fantasy",10.0000,2
2014,Documentaries,6.1538,26
2014,Movies,6.1250,8
2014,"Children & Family Movies",6.0000,20
2014,"Stand-Up Comedy",6.0000,9
2014,"International Movies",5.8571,7
2014,"Kids' TV",5.1818,11
2014,"Horror Movies",5.0667,15
2014,Dramas,5.0370,54
2014,"TV Comedies",5.0000,1
2014,"Anime Series",4.6667,6
2014,"Action & Adventure",4.5263,19
2014,Comedies,4.1111,45
