genre,average_duration
"Action & Adventure",113.9703
Dramas,112.5510
"International Movies",111.4152
"Sci-Fi & Fantasy",109.6316
"Cult Movies",108.9545
"Classic Movies",107.2143
Comedies,107.0812
"Independent Movies",97.8000
"Horror Movies",96.9213
Thrillers,94.7027
"Music & Musicals",92.5000
"Anime Features",87.5000
"Sports Movies",87.0000
"Romantic Movies",83.0000
Documentaries,82.6453
"Children & Family Movies",82.4154
"Stand-Up Comedy",66.5774
Movies,45.3455
"Classic & Cult TV",5.5686
"Romantic TV Shows",3.6000
"TV Action & Adventure",3.1690
"TV Comedies",3.0305
"TV Sci-Fi & Fantasy",3.0000
"TV Dramas",2.9063
"TV Horror",2.8261
"Stand-Up Comedy & Talk Shows",2.1176
"Kids' TV",1.9523
"British TV Shows",1.8287
"Crime TV Shows",1.7372
"Anime Series",1.5615
"Reality TV",1.4737
Docuseries,1.3952
"International TV Shows",1.3174
"Spanish-Language TV Shows",1.0000
"TV Shows",1.0000
