listed_name,release_year,total_shows,average_rating
Docuseries,2020,1,4.0000
"International TV Shows",2019,102,2.9118
"Crime TV Shows",2019,80,3.4625
Dramas,2019,73,3.7260
Documentaries,2019,66,3.2727
Comedies,2019,59,3.4068
"Kids' TV",2019,53,5.5283
"Stand-Up Comedy",2019,42,3.6667
"Children & Family Movies",2019,37,5.0541
"TV Comedies",2019,36,3.3333
Docuseries,2019,34,2.9412
"British TV Shows",2019,26,3.8462
"Action & Adventure",2019,25,3.8400
"Reality TV",2019,23,3.9565
"Horror Movies",2019,20,2.9500
"Anime Series",2019,17,3.7059
"TV Action & Adventure",2019,13,3.0000
"TV Dramas",2019,13,2.6923
"International Movies",2019,10,3.3000
Thrillers,2019,7,2.2857
Movies,2019,5,4.2000
"Stand-Up Comedy & Talk Shows",2019,5,3.4000
"TV Horror",2019,5,2.2000
"Romantic TV Shows",2019,4,1.7500
"Independent Movies",2019,2,4.5000
"TV Shows",2019,2,2.5000
"Classic & Cult TV",2019,2,1.0000
"Anime Features",2019,1,4.0000
Dramas,2018,157,3.4650
Comedies,2018,110,3.2636
Documentaries,2018,108,3.1759
"International TV Shows",2018,94,2.8936
"Crime TV Shows",2018,79,3.5443
"Action & Adventure",2018,67,4.4776
"Stand-Up Comedy",2018,57,3.8772
"Kids' TV",2018,56,6.2679
"Children & Family Movies",2018,49,7.0000
Docuseries,2018,44,3.4545
"Horror Movies",2018,39,3.7692
"British TV Shows",2018,38,3.6316
"Anime Series",2018,23,3.0870
"TV Comedies",2018,22,3.3182
"Stand-Up Comedy & Talk Shows",2018,14,3.0000
"Reality TV",2018,14,2.9286
"TV Dramas",2018,11,3.0909
Movies,2018,10,4.7000
"International Movies",2018,9,4.0000
"TV Action & Adventure",2018,8,4.6250
Thrillers,2018,7,2.1429
"Independent Movies",2018,5,4.4000
"Music & Musicals",2018,4,3.7500
"Sci-Fi & Fantasy",2018,4,3.7500
"Romantic TV Shows",2018,4,3.2500
"Anime Features",2018,2,6.5000
"Classic & Cult TV",2018,2,4.0000
"Cult Movies",2018,1,6.0000
"Romantic Movies",2018,1,4.0000
"TV Horror",2018,1,4.0000
Documentaries,2017,160,3.4000
Dramas,2017,151,3.5298
Comedies,2017,106,3.8396
"Action & Adventure",2017,73,4.1233
"International TV Shows",2017,67,2.8358
"Stand-Up Comedy",2017,56,3.8036
"Crime TV Shows",2017,55,2.8545
"Kids' TV",2017,48,5.6042
"Children & Family Movies",2017,39,5.2308
"Horror Movies",2017,36,4.3056
"British TV Shows",2017,36,2.8611
Docuseries,2017,20,4.0000
"TV Dramas",2017,15,2.5333
"International Movies",2017,13,3.5385
"TV Comedies",2017,9,3.7778
"Anime Series",2017,9,3.6667
Thrillers,2017,7,3.2857
"Stand-Up Comedy & Talk Shows",2017,6,3.6667
"Independent Movies",2017,4,4.0000
Movies,2017,3,3.6667
"Reality TV",2017,3,3.3333
"Music & Musicals",2017,2,2.5000
"TV Shows",2017,2,1.0000
"Anime Features",2017,1,7.0000
"Sports Movies",2017,1,5.0000
"Classic & Cult TV",2017,1,4.0000
"Romantic Movies",2017,1,1.0000
"Romantic TV Shows",2017,1,1.0000
"TV Sci-Fi & Fantasy",2017,1,1.0000
Dramas,2016,166,4.8494
Documentaries,2016,131,3.9618
Comedies,2016,96,4.3646
"International TV Shows",2016,84,2.2500
"Action & Adventure",2016,63,4.8413
"Children & Family Movies",2016,39,6.1282
"Kids' TV",2016,35,5.2857
"Stand-Up Comedy",2016,34,3.8824
"Crime TV Shows",2016,33,3.0303
"British TV Shows",2016,29,3.4828
"Horror Movies",2016,22,5.1364
Docuseries,2016,18,3.3889
"International Movies",2016,12,3.7500
"Reality TV",2016,10,3.1000
"Anime Series",2016,7,3.1429
Thrillers,2016,6,5.3333
Movies,2016,6,4.6667
"TV Comedies",2016,6,3.1667
"Romantic TV Shows",2016,5,1.6000
"Music & Musicals",2016,4,4.2500
"Anime Features",2016,3,6.0000
"TV Action & Adventure",2016,2,4.5000
"TV Dramas",2016,2,2.5000
"Classic & Cult TV",2016,1,4.0000
"Independent Movies",2016,1,4.0000
"Spanish-Language TV Shows",2016,1,1.0000
"Stand-Up Comedy & Talk Shows",2016,1,1.0000
Dramas,2015,109,5.8257
Comedies,2015,66,4.8182
Documentaries,2015,65,5.1385
"International TV Shows",2015,63,2.3651
"Action & Adventure",2015,43,4.7907
"British TV Shows",2015,22,3.3182
"Crime TV Shows",2015,19,2.3158
"Children & Family Movies",2015,17,4.5294
"Kids' TV",2015,16,4.6250
"Stand-Up Comedy",2015,15,4.3333
"Horror Movies",2015,12,6.8333
"International Movies",2015,9,4.8889
"Anime Series",2015,8,3.2500
"TV Comedies",2015,6,3.6667
Movies,2015,5,3.4000
Docuseries,2015,4,3.2500
"TV Dramas",2015,4,2.0000
Thrillers,2015,3,7.3333
"TV Horror",2015,2,4.0000
"Reality TV",2015,2,1.5000
"Cult Movies",2015,1,12.0000
"TV Action & Adventure",2015,1,12.0000
"Anime Features",2015,1,10.0000
"Sci-Fi & Fantasy",2015,1,10.0000
"TV Shows",2015,1,6.0000
"Stand-Up Comedy & Talk Shows",2015,1,4.0000
"Classic & Cult TV",2015,1,1.0000
Dramas,2014,54,5.0370
Comedies,2014,45,4.1111
Documentaries,2014,26,6.1538
"International TV Shows",2014,25,2.3600
"Children & Family Movies",2014,20,6.0000
"Action & Adventure",2014,19,4.5263
"Horror Movies",2014,15,5.0667
"Kids' TV",2014,11,5.1818
"Crime TV Shows",2014,10,2.5000
"Stand-Up Comedy",2014,9,6.0000
Docuseries,2014,9,4.0000
Movies,2014,8,6.1250
"International Movies",2014,7,5.8571
"British TV Shows",2014,7,3.1429
"Anime Series",2014,6,4.6667
"Reality TV",2014,3,4.0000
"Sci-Fi & Fantasy",2014,2,10.0000
"TV Comedies",2014,1,5.0000
"TV Shows",2014,1,4.0000
"Romantic TV Shows",2014,1,1.0000
Thrillers,2014,1,1.0000
"TV Dramas",2014,1,1.0000
Dramas,2013,46,5.0870
Comedies,2013,36,3.3056
Documentaries,2013,28,5.6071
"International TV Shows",2013,22,2.3636
"Children & Family Movies",2013,21,6.4286
"Action & Adventure",2013,20,5.3000
"British TV Shows",2013,11,4.3636
"Stand-Up Comedy",2013,8,8.2500
"Crime TV Shows",2013,8,2.1250
"Kids' TV",2013,7,6.1429
"Horror Movies",2013,7,5.7143
"Anime Series",2013,4,2.5000
Docuseries,2013,2,8.5000
"Independent Movies",2013,2,6.0000
"Reality TV",2013,2,3.0000
"International Movies",2013,2,2.0000
"Cult Movies",2013,1,6.0000
"TV Action & Adventure",2013,1,4.0000
"TV Dramas",2013,1,4.0000
"Anime Features",2013,1,1.0000
"TV Comedies",2013,1,1.0000
Comedies,2012,37,3.7838
"International TV Shows",2012,26,1.7692
Dramas,2012,23,4.0000
"Action & Adventure",2012,20,4.6000
