country_name,type_name,total_shows
"United States",Movie,1375
India,Movie,645
"United States","TV Show",532
NULL,"TV Show",257
"United Kingdom","TV Show",174
NULL,Movie,170
"United Kingdom",Movie,162
Japan,"TV Show",124
"South Korea","TV Show",101
Canada,Movie,87
Spain,Movie,78
Taiwan,"TV Show",65
Turkey,Movie,55
Canada,"TV Show",52
India,"TV Show",52
Mexico,Movie,51
"Hong Kong",Movie,49
France,Movie,48
Japan,Movie,44
Indonesia,Movie,42
Philippines,Movie,42
Egypt,Movie,41
Australia,"TV Show",39
France,"TV Show",37
Spain,"TV Show",35
Brazil,Movie,33
Germany,Movie,33
Thailand,Movie,33
"South Korea",Movie,32
Australia,Movie,30
"United Kingdom, United States",Movie,30
China,"TV Show",29
Mexico,"TV Show",29
Argentina,Movie,26
Nigeria,Movie,26
"Canada, United States",Movie,23
Turkey,"TV Show",23
"United States, Canada",Movie,22
"France, Belgium",Movie,21
"United States, United Kingdom",Movie,20
China,Movie,19
Thailand,"TV Show",17
Colombia,"TV Show",16
"Hong Kong, China",Movie,16
Italy,Movie,16
Brazil,"TV Show",15
"China, Hong Kong",Movie,14
Pakistan,Movie,14
Argentina,"TV Show",12
"Canada, United States","TV Show",12
Russia,"TV Show",12
"United States, Canada","TV Show",12
Malaysia,Movie,11
Netherlands,Movie,10
"United States, Japan","TV Show",10
Chile,Movie,9
Colombia,Movie,9
Singapore,"TV Show",9
"United Kingdom, United States","TV Show",9
"United States, Australia",Movie,9
Egypt,"TV Show",8
Israel,"TV Show",8
Poland,Movie,8
"United States, France",Movie,8
"United States, Germany",Movie,8
Denmark,"TV Show",7
Germany,"TV Show",7
Ireland,Movie,7
"United States, United Kingdom","TV Show",7
"Argentina, Spain",Movie,6
"India, United States",Movie,6
Malaysia,"TV Show",6
"Mexico, United States",Movie,6
"New Zealand",Movie,6
"United States, France, Japan","TV Show",6
"Australia, United States",Movie,5
Denmark,Movie,5
Israel,Movie,5
Italy,"TV Show",5
"Japan, United States",Movie,5
Lebanon,"TV Show",5
Singapore,Movie,5
"Spain, France",Movie,5
Sweden,"TV Show",5
"United Kingdom, France",Movie,5
"United States, China",Movie,5
"United States, India",Movie,5
"United States, Mexico",Movie,5
Belgium,"TV Show",4
"Germany, United States",Movie,4
"India, France",Movie,4
Ireland,"TV Show",4
"Italy, France",Movie,4
"Mexico, United States","TV Show",4
Norway,"TV Show",4
Pakistan,"TV Show",4
Peru,Movie,4
Romania,Movie,4
"South Africa",Movie,4
Vietnam,Movie,4
"Australia, United Arab Emirates",Movie,3
"Belgium, France",Movie,3
"Bulgaria, United States",Movie,3
Chile,"TV Show",3
"Hong Kong, United States",Movie,3
"India, Turkey",Movie,3
Norway,Movie,3
Poland,"TV Show",3
"South Korea, United States","TV Show",3
"Sweden, United States",Movie,3
Taiwan,Movie,3
"United Arab Emirates",Movie,3
"United Kingdom, Canada, United States",Movie,3
"United States, Czech Republic","TV Show",3
"United States, Italy",Movie,3
"United States, Mexico","TV Show",3
"United States, New Zealand","TV Show",3
"United States, Spain",Movie,3
"United States, United Arab Emirates",Movie,3
"United States, United Kingdom, Australia",Movie,3
"United States, United Kingdom, France",Movie,3
"Argentina, Italy",Movie,2
"Australia, United States","TV Show",2
Austria,Movie,2
"Brazil, France",Movie,2
"Canada, Australia","TV Show",2
"Canada, United Kingdom","TV Show",2
"Canada, United Kingdom, United States","TV Show",2
"Canada, United States, United Kingdom",Movie,2
"Colombia, Mexico, United States","TV Show",2
"France, Belgium","TV Show",2
"France, Canada",Movie,2
"France, United States","TV Show",2
"France, United States",Movie,2
"Germany, United Kingdom",Movie,2
"Germany, United States, Canada",Movie,2
"Hong Kong","TV Show",2
Hungary,Movie,2
Iceland,Movie,2
"India, Soviet Union",Movie,2
"Indonesia, Singapore",Movie,2
"Ireland, United Kingdom, United States","TV Show",2
"Israel, United States",Movie,2
"Italy, United States",Movie,2
"New Zealand","TV Show",2
"South Africa, United States",Movie,2
"South Korea, United States",Movie,2
"Spain, Argentina",Movie,2
"Spain, Mexico",Movie,2
Sweden,Movie,2
"Switzerland, United States",Movie,2
Ukraine,"TV Show",2
"United Arab Emirates, United States",Movie,2
"United Kingdom, Canada",Movie,2
"United Kingdom, France, Belgium",Movie,2
"United Kingdom, France, United States",Movie,2
"United Kingdom, Germany",Movie,2
"United Kingdom, India",Movie,2
"United Kingdom, India, United States",Movie,2
"United Kingdom, Japan, United States",Movie,2
"United Kingdom, United States, Spain, Germany, Greece, Canada","TV Show",2
"United Kingdom, United States, Spain, Germany, Greece, Canada",Movie,2
"United States, Brazil, South Korea, Mexico, Japan, Germany","TV Show",2
"United States, Bulgaria",Movie,2
"United States, Germany, Canada",Movie,2
"United States, Japan",Movie,2
"United States, Japan, Canada","TV Show",2
"United States, South Africa",Movie,2
"United States, South Korea, China","TV Show",2
"United States, Sweden",Movie,2
"United States, United Kingdom, Germany",Movie,2
Uruguay,Movie,2
"Argentina, Brazil, France, Poland, Germany, Denmark",Movie,1
"Argentina, Chile",Movie,1
"Argentina, Chile, Peru",Movie,1
"Argentina, France",Movie,1
"Argentina, France, Germany",Movie,1
"Argentina, Spain","TV Show",1
"Argentina, United States",Movie,1
"Argentina, United States, Mexico","TV Show",1
"Argentina, Uruguay, Spain, France",Movie,1
"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay",Movie,1
"Australia, Canada","TV Show",1
"Australia, Canada",Movie,1
"Australia, France",Movie,1
"Australia, France, Ireland",Movie,1
"Australia, India",Movie,1
"Australia, Iraq",Movie,1
"Australia, New Zealand","TV Show",1
"Australia, New Zealand, United States","TV Show",1
"Australia, United Kingdom, Canada",Movie,1
"Australia, United Kingdom, United Arab Emirates, Canada",Movie,1
"Australia, United Kingdom, United States, New Zealand, Italy, France",Movie,1
"Austria, Czech Republic",Movie,1
"Austria, Iraq, United States",Movie,1
"Austria, United States",Movie,1
Bangladesh,Movie,1
Belgium,Movie,1
"Belgium, India, Australia",Movie,1
"Belgium, Ireland, Netherlands, Germany, Afghanistan",Movie,1
"Belgium, Luxembourg, France",Movie,1
"Belgium, Netherlands",Movie,1
"Belgium, Netherlands","TV Show",1
"Belgium, United Kingdom, United States",Movie,1
"Brazil, Canada",Movie,1
"Brazil, India, China, United States",Movie,1
"Brazil, Netherlands, United States, Colombia, Austria, Germany",Movie,1
"Brazil, United States",Movie,1
Bulgaria,Movie,1
"Bulgaria, United States, Spain, Canada",Movie,1
Cambodia,Movie,1
"Cambodia, United States",Movie,1
"Canada, Brazil","TV Show",1
"Canada, France","TV Show",1
"Canada, France, Italy, Morocco, United States",Movie,1
"Canada, Germany, France, United States",Movie,1
"Canada, Germany, South Africa","TV Show",1
"Canada, India",Movie,1
"Canada, India, Thailand, United States, United Arab Emirates",Movie,1
"Canada, Ireland, United States",Movie,1
"Canada, Japan, Netherlands","TV Show",1
"Canada, Japan, United States",Movie,1
"Canada, Luxembourg",Movie,1
"Canada, Mexico, Germany, South Africa",Movie,1
"Canada, Norway",Movie,1
"Canada, Spain",Movie,1
"Canada, Spain, France",Movie,1
"Canada, United Kingdom, Netherlands",Movie,1
"Canada, United Kingdom, United States",Movie,1
"Canada, United States, France","TV Show",1
"Canada, United States, India, United Kingdom",Movie,1
"Chile, Argentina",Movie,1
"Chile, Argentina, France, Spain, United States",Movie,1
"Chile, France",Movie,1
"Chile, Peru",Movie,1
"Chile, Spain, Argentina, Germany",Movie,1
"Chile, United States, France",Movie,1
"China, Canada, United States",Movie,1
"China, Germany, India, United States",Movie,1
"China, Hong Kong","TV Show",1
"China, Hong Kong, United States",Movie,1
"China, India, Nepal",Movie,1
"China, Japan",Movie,1
"China, Morocco, Hong Kong",Movie,1
"China, South Korea, United States",Movie,1
"China, Taiwan",Movie,1
"China, United Kingdom","TV Show",1
"China, United States",Movie,1
"China, United States, Australia",Movie,1
"China, United States, United Kingdom",Movie,1
"Colombia, Mexico",Movie,1
"Colombia, United States","TV Show",1
Croatia,"TV Show",1
"Croatia, Slovenia, Serbia, Montenegro",Movie,1
"Cyprus, Austria, Thailand","TV Show",1
"Czech Republic, France",Movie,1
"Czech Republic, Slovakia",Movie,1
"Czech Republic, United Kingdom, France",Movie,1
"Czech Republic, United States",Movie,1
"Czech Republic, United States","TV Show",1
"Denmark, Brazil, France, Portugal, Sweden",Movie,1
"Denmark, China",Movie,1
"Denmark, France, Italy, Belgium, Netherlands",Movie,1
"Denmark, France, Poland",Movie,1
"Denmark, France, United States, Sweden",Movie,1
"Denmark, Germany, Belgium, United Kingdom, France",Movie,1
"Denmark, Germany, Belgium, United Kingdom, France, Sweden",Movie,1
"Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands",Movie,1
"Denmark, Singapore, Canada, United States","TV Show",1
"Denmark, Spain",Movie,1
"Denmark, Sweden, Israel, United States",Movie,1
"Denmark, United Kingdom",Movie,1
"Denmark, United Kingdom, South Africa, Sweden, Belgium",Movie,1
"Denmark, United States",Movie,1
"Denmark, United States","TV Show",1
"Denmark, Zimbabwe",Movie,1
"Dominican Republic",Movie,1
