director_name,cast_members,collaboration_count,average_rating
"S.S. Rajamouli","Tamannaah Bhatia",7,2.2857
"S.S. Rajamouli",Sathyaraj,7,2.2857
"S.S. Rajamouli","Rana Daggubati",7,2.2857
"S.S. Rajamouli","Ramya Krishnan",7,2.2857
"S.S. Rajamouli",Prabhas,7,2.2857
"S.S. Rajamouli",Nassar,7,2.2857
"S.S. Rajamouli","Anushka Shetty",7,2.2857
"Yılmaz Erdoğan","Yılmaz Erdoğan",6,6.5000
"Tilak Shetty","Smita Malhotra",6,6.3333
"Hakan Algül","Ata Demirer",6,3.3333
"Robb Wells","John Paul Tremblay",5,7.2000
"Robb Wells","Mike Smith",5,7.2000
"Robb Wells","Pat Roach",5,7.2000
"Robb Wells","Robb Wells",5,7.2000
"John Paul Tremblay","Robb Wells",5,7.2000
"John Paul Tremblay","Pat Roach",5,7.2000
"John Paul Tremblay","Mike Smith",5,7.2000
"John Paul Tremblay","John Paul Tremblay",5,7.2000
"Mike Smith","Robb Wells",5,7.2000
"Mike Smith","Pat Roach",5,7.2000
"Mike Smith","Mike Smith",5,7.2000
"Mike Smith","John Paul Tremblay",5,7.2000
"Martin Scorsese","Harvey Keitel",5,6.4000
"Ishi Rudell","Andrea Libman",5,5.4000
"Ishi Rudell","Ashleigh Ball",5,5.4000
"Ishi Rudell","Rebecca Shoichet",5,5.4000
"Ishi Rudell","Tabitha St. Germain",5,5.4000
"Ishi Rudell","Tara Strong",5,5.4000
"Mike Clattenburg","Robb Wells",5,4.8000
"Mike Clattenburg","John Paul Tremblay",5,4.8000
"Mike Clattenburg","John Dunsworth",5,4.8000
"Toshiya Shinohara","Houko Kuwashima",4,10.0000
"Toshiya Shinohara","Kappei Yamaguchi",4,10.0000
"Toshiya Shinohara","Koji Tsujitani",4,10.0000
"Toshiya Shinohara","Kumiko Watanabe",4,10.0000
"Toshiya Shinohara","Satsuki Yukino",4,10.0000
"Steven Spielberg","Harrison Ford",4,9.0000
"Robert Vince","David DeLuise",4,8.5000
"Robert Rodriguez","Alexa PenaVega",4,8.0000
"Robert Rodriguez","Daryl Sabara",4,8.0000
"William Lau","Kate Higgins",4,7.0000
"William Lau","America Young",4,7.0000
"Jeremy Saulnier","Macon Blair",4,7.0000
"Wilson Yip","Donnie Yen",4,6.5000
"Tilak Shetty","Deepak Chachra",4,6.0000
"Tilak Shetty","Damandeep Singh Baggan",4,6.0000
"Martin Scorsese","Robert De Niro",4,6.0000
"Mike Smith","John Dunsworth",4,6.0000
"Lana Wachowski","Hugo Weaving",4,6.0000
"Lilly Wachowski","Hugo Weaving",4,6.0000
"Jesse V. Johnson","Scott Adkins",4,6.0000
"John Paul Tremblay","John Dunsworth",4,6.0000
"Quentin Tarantino","Samuel L. Jackson",4,6.0000
"Robb Wells","John Dunsworth",4,6.0000
"Leslie Small","Kevin Hart",4,5.5000
"Mike Clattenburg","Patrick Roach",4,5.0000
"Mike Clattenburg","Lucy Decoutere",4,5.0000
"Mike Clattenburg","Barrie Dunn",4,5.0000
"Hakan Algül","Salih Kalyon",4,4.5000
"Fernando Ayllón","Ricardo Quevedo",4,4.0000
