release_year,year_added,total_shows,average_rating
1925,2018,1,5.0000
1942,2017,2,3.5000
1943,2017,3,6.0000
1944,2017,3,3.6667
1945,2017,3,2.0000
1946,2017,2,3.0000
1946,2018,1,5.0000
1947,2017,1,1.0000
1954,2012,1,2.0000
1955,2019,1,10.0000
1956,2019,1,9.0000
1958,2019,2,10.5000
1959,2017,1,5.0000
1960,2017,1,5.0000
1960,2019,2,3.0000
1962,2017,1,5.0000
1962,2019,2,5.5000
1963,NULL,1,5.0000
1965,2019,2,5.5000
1966,2017,1,5.0000
1967,NULL,1,2.0000
1967,2019,2,5.0000
1968,NULL,1,5.0000
1968,2019,2,8.0000
1969,2017,1,1.0000
1970,2019,1,5.0000
1971,2017,2,5.0000
1972,2018,1,1.0000
1972,2019,1,6.0000
1973,2016,1,12.0000
1973,2017,1,1.0000
1973,2019,6,6.5000
1974,NULL,1,12.0000
1974,2017,1,1.0000
1974,2018,1,9.0000
1974,2019,4,8.2500
1975,2017,1,1.0000
1975,2018,1,4.0000
1975,2019,2,6.0000
1976,2017,1,5.0000
1976,2019,5,7.2000
1977,NULL,1,5.0000
1977,2017,1,4.0000
1977,2018,1,9.0000
1978,2017,1,1.0000
1978,2018,3,4.0000
1978,2019,2,6.0000
1979,2016,1,4.0000
1979,2017,1,5.0000
1979,2018,2,8.0000
1979,2019,1,8.0000
1980,2017,1,1.0000
1980,2018,3,5.6667
1980,2019,2,7.0000
1981,2016,1,12.0000
1981,2018,2,6.0000
1981,2019,2,7.0000
1982,2018,2,3.5000
1982,2019,4,5.7500
1983,2017,1,1.0000
1983,2018,4,3.7500
1983,2019,1,4.0000
1984,2017,1,5.0000
1984,2018,3,3.3333
1984,2019,2,8.0000
1985,2016,1,4.0000
1985,2018,3,8.3333
1985,2019,2,6.0000
1986,NULL,1,5.0000
1986,2011,2,12.0000
1986,2017,2,5.0000
1986,2018,3,6.0000
1986,2019,1,1.0000
1987,2010,1,12.0000
1987,2011,1,12.0000
1987,2018,1,4.0000
1987,2019,1,6.0000
1988,NULL,1,5.0000
1988,2011,3,9.6667
1988,2014,1,5.0000
1988,2017,2,1.5000
1988,2018,2,5.0000
1988,2019,2,8.0000
1989,2011,1,5.0000
1989,2016,1,7.0000
1989,2017,1,1.0000
1989,2018,5,5.4000
1989,2019,3,6.3333
1990,NULL,2,4.5000
1990,2011,2,12.0000
1990,2017,2,3.5000
1990,2018,2,2.5000
1990,2019,3,5.0000
1991,2011,2,8.5000
1991,2016,1,2.0000
1991,2017,2,6.5000
1991,2018,6,6.1667
1991,2019,1,6.0000
1992,NULL,2,4.0000
1992,2016,1,6.0000
1992,2017,3,5.0000
1992,2018,4,3.2500
1992,2019,3,7.3333
1993,NULL,1,5.0000
1993,2017,2,6.5000
1993,2018,9,3.7778
1993,2019,5,8.8000
1994,2016,2,3.0000
1994,2017,2,1.0000
1994,2018,4,7.0000
1994,2019,5,6.2000
1995,NULL,1,11.0000
1995,2017,2,1.0000
1995,2018,5,6.0000
1995,2019,7,6.7143
1996,2016,2,11.0000
1996,2017,4,4.7500
1996,2018,1,6.0000
1996,2019,6,7.0000
1997,NULL,2,7.0000
1997,2016,2,11.0000
1997,2018,4,4.0000
1997,2019,13,7.0000
1998,NULL,2,4.0000
1998,2016,2,11.5000
1998,2017,2,5.5000
1998,2018,7,3.5714
1998,2019,9,6.2222
1999,NULL,1,5.0000
1999,2016,2,6.0000
1999,2017,1,6.0000
1999,2018,6,5.1667
1999,2019,3,5.6667
2000,NULL,1,5.0000
2000,2011,1,5.0000
2000,2016,1,11.0000
2000,2017,2,6.5000
2000,2018,8,3.2500
2000,2019,9,7.8889
2001,NULL,1,1.0000
2001,2015,1,2.0000
2001,2016,2,6.0000
2001,2017,5,6.6000
2001,2018,5,4.8000
2001,2019,14,6.1429
2002,2016,1,11.0000
2002,2017,2,9.0000
2002,2018,8,3.6250
2002,2019,15,7.0000
2003,NULL,3,2.3333
2003,2016,2,9.5000
2003,2017,2,6.5000
2003,2018,7,2.7143
2003,2019,23,6.2609
2004,NULL,2,3.0000
2004,2016,1,11.0000
2004,2017,9,7.4444
2004,2018,14,5.2143
2004,2019,15,5.7333
2005,NULL,4,3.5000
2005,2013,1,5.0000
2005,2016,6,4.0000
2005,2017,4,5.7500
2005,2018,19,3.2105
2005,2019,18,6.4444
2006,NULL,3,2.0000
2006,2008,1,12.0000
2006,2015,1,5.0000
2006,2016,3,5.6667
2006,2017,8,4.7500
2006,2018,16,4.1875
2006,2019,25,7.2000
2007,NULL,3,1.0000
2007,2008,1,4.0000
2007,2009,1,12.0000
2007,2016,4,5.2500
2007,2017,6,3.3333
2007,2018,17,5.3529
2007,2019,29,7.5517
2008,NULL,7,3.5714
2008,2012,1,5.0000
2008,2016,11,4.5455
2008,2017,11,5.0000
2008,2018,32,4.1875
2008,2019,40,6.4500
2009,NULL,3,3.3333
2009,2009,1,1.0000
2009,2015,4,4.2500
2009,2016,10,3.2000
2009,2017,14,4.9286
2009,2018,41,3.9512
2009,2019,33,7.0303
2010,NULL,9,3.8889
2010,2011,1,12.0000
2010,2012,1,5.0000
2010,2015,1,2.0000
2010,2016,9,5.6667
2010,2017,33,3.8485
2010,2018,42,3.6429
2010,2019,40,5.9750
2011,NULL,5,4.2000
2011,2012,3,6.0000
2011,2013,1,12.0000
2011,2015,1,2.0000
2011,2016,13,6.3846
2011,2017,28,3.5357
2011,2018,34,4.0882
2011,2019,42,5.5952
2012,NULL,15,3.3333
2012,2012,1,6.0000
2012,2016,28,4.6786
2012,2017,37,3.3243
2012,2018,51,4.5882
2012,2019,42,4.2381
2013,NULL,17,4.4118
2013,2013,6,9.6667
2013,2014,3,8.0000
2013,2015,5,6.8000
2013,2016,17,5.5882
2013,2017,60,4.1833
2013,2018,63,4.6667
2013,2019,60,4.1833
2014,NULL,18,3.7778
2014,2014,15,7.0000
2014,2015,11,8.0000
2014,2016,20,5.0000
2014,2017,88,4.5227
2014,2018,74,4.2297
2014,2019,55,4.4000
2015,NULL,39,3.1538
2015,2015,48,6.3750
2015,2016,91,6.2308
2015,2017,146,4.0137
2015,2018,102,4.0392
2015,2019,71,3.9577
2016,NULL,71,3.4648
2016,2013,1,4.0000
2016,2016,172,4.6221
2016,2017,326,4.2454
2016,2018,134,3.9701
2016,2019,113,3.9912
2017,NULL,100,3.3400
2017,2016,1,1.0000
2017,2017,343,3.8834
2017,2018,336,3.7351
2017,2019,146,3.3767
2018,NULL,150,4.1867
2018,2017,1,4.0000
2018,2018,536,3.8246
2018,2019,353,3.5807
2019,NULL,172,3.5058
2019,2018,2,5.5000
2019,2019,588,3.5901
2020,2019,1,4.0000
