country_name,listed_name,total_shows,average_rating
NULL,"International TV Shows",129,2.2868
NULL,Documentaries,50,3.1800
NULL,"Kids' TV",46,5.4130
NULL,"Children & Family Movies",31,6.5484
NULL,"Crime TV Shows",28,3.4286
NULL,"Stand-Up Comedy",25,3.7600
NULL,Docuseries,19,4.2632
NULL,Movies,18,4.1667
NULL,Comedies,17,2.4118
NULL,Dramas,16,2.9375
NULL,"British TV Shows",11,3.6364
NULL,"Reality TV",10,3.1000
NULL,"Anime Series",6,4.0000
NULL,"TV Shows",4,2.5000
NULL,"International Movies",3,4.6667
NULL,"Music & Musicals",3,3.6667
NULL,"Action & Adventure",2,7.0000
NULL,"TV Comedies",2,4.5000
NULL,"Stand-Up Comedy & Talk Shows",2,2.5000
NULL,"Horror Movies",1,4.0000
Argentina,Dramas,9,4.2222
Argentina,"Stand-Up Comedy",7,3.5714
Argentina,"International TV Shows",5,3.4000
Argentina,"Crime TV Shows",4,4.0000
Argentina,Comedies,3,9.3333
Argentina,Documentaries,3,2.6667
Argentina,"Kids' TV",3,2.3333
Argentina,"Action & Adventure",2,8.0000
Argentina,"Children & Family Movies",1,5.0000
Argentina,"Horror Movies",1,4.0000
"Argentina, Brazil, France, Poland, Germany, Denmark",Dramas,1,1.0000
"Argentina, Chile",Dramas,1,1.0000
"Argentina, Chile, Peru",Comedies,1,12.0000
"Argentina, France",Dramas,1,4.0000
"Argentina, France, Germany",Dramas,1,4.0000
"Argentina, Italy",Dramas,1,4.0000
"Argentina, Italy",Documentaries,1,1.0000
"Argentina, Spain",Comedies,3,4.0000
"Argentina, Spain",Dramas,2,4.0000
"Argentina, Spain","Classic Movies",1,4.0000
"Argentina, Spain","International TV Shows",1,4.0000
"Argentina, United States",Dramas,1,4.0000
"Argentina, United States, Mexico",Docuseries,1,4.0000
"Argentina, Uruguay, Spain, France",Dramas,1,4.0000
Australia,"International TV Shows",12,3.0833
Australia,"Crime TV Shows",8,5.2500
Australia,"Kids' TV",6,4.0000
Australia,Docuseries,6,3.6667
Australia,Dramas,5,6.8000
Australia,"Children & Family Movies",5,5.2000
Australia,Comedies,3,5.0000
Australia,"Action & Adventure",3,5.0000
Australia,"Reality TV",3,3.6667
Australia,Movies,3,2.3333
Australia,Documentaries,3,2.0000
Australia,"Classic Movies",2,9.0000
Australia,"International Movies",2,3.5000
Australia,"TV Comedies",2,2.5000
Australia,"Cult Movies",1,12.0000
Australia,Thrillers,1,6.0000
Australia,"British TV Shows",1,5.0000
Australia,"Horror Movies",1,4.0000
Australia,"Stand-Up Comedy",1,4.0000
"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay",Documentaries,1,4.0000
"Australia, Canada","Children & Family Movies",1,3.0000
"Australia, Canada","Kids' TV",1,3.0000
"Australia, France",Dramas,1,6.0000
"Australia, France, Ireland","Children & Family Movies",1,2.0000
"Australia, India","Action & Adventure",1,5.0000
"Australia, Iraq",Documentaries,1,4.0000
"Australia, New Zealand","Kids' TV",1,5.0000
"Australia, New Zealand, United States","TV Dramas",1,4.0000
"Australia, United Arab Emirates","Children & Family Movies",1,7.0000
"Australia, United Arab Emirates",Dramas,1,4.0000
"Australia, United Arab Emirates","Horror Movies",1,4.0000
"Australia, United Kingdom, Canada","Action & Adventure",1,6.0000
"Australia, United Kingdom, United Arab Emirates, Canada",Dramas,1,6.0000
"Australia, United Kingdom, United States, New Zealand, Italy, France",Documentaries,1,12.0000
"Australia, United States",Documentaries,2,3.0000
"Australia, United States","Children & Family Movies",1,8.0000
"Australia, United States",Dramas,1,6.0000
"Australia, United States","International Movies",1,6.0000
"Australia, United States","Kids' TV",1,3.0000
"Australia, United States",Docuseries,1,1.0000
Austria,Dramas,1,4.0000
Austria,Documentaries,1,1.0000
"Austria, Czech Republic",Dramas,1,12.0000
"Austria, Iraq, United States",Documentaries,1,4.0000
"Austria, United States",Documentaries,1,4.0000
Bangladesh,Dramas,1,1.0000
Belgium,"Crime TV Shows",3,3.0000
Belgium,Documentaries,1,12.0000
Belgium,"International TV Shows",1,4.0000
"Belgium, France",Dramas,3,7.3333
"Belgium, India, Australia","Action & Adventure",1,6.0000
"Belgium, Ireland, Netherlands, Germany, Afghanistan",Documentaries,1,4.0000
"Belgium, Luxembourg, France",Dramas,1,10.0000
"Belgium, Netherlands",Dramas,1,6.0000
"Belgium, Netherlands","Crime TV Shows",1,4.0000
"Belgium, United Kingdom, United States",Dramas,1,4.0000
Brazil,"International TV Shows",8,4.0000
Brazil,Documentaries,8,3.5000
Brazil,Comedies,7,4.7143
Brazil,Dramas,6,6.8333
Brazil,"Stand-Up Comedy",6,3.5000
Brazil,"Crime TV Shows",4,4.0000
Brazil,"Action & Adventure",3,6.6667
Brazil,"Children & Family Movies",3,5.3333
Brazil,Docuseries,2,4.5000
Brazil,"Kids' TV",1,5.0000
"Brazil, Canada",Comedies,1,12.0000
"Brazil, France",Dramas,2,8.5000
"Brazil, India, China, United States",Documentaries,1,1.0000
"Brazil, Netherlands, United States, Colombia, Austria, Germany",Dramas,1,5.0000
"Brazil, United States",Documentaries,1,1.0000
Bulgaria,"Horror Movies",1,6.0000
"Bulgaria, United States","Action & Adventure",2,6.0000
"Bulgaria, United States","International Movies",1,6.0000
"Bulgaria, United States, Spain, Canada","International Movies",1,6.0000
Cambodia,"Action & Adventure",1,4.0000
"Cambodia, United States",Dramas,1,4.0000
Canada,Comedies,18,4.8889
Canada,"Children & Family Movies",17,6.1176
Canada,"Kids' TV",16,5.9375
Canada,Documentaries,16,3.3750
Canada,Dramas,14,4.0000
Canada,"International TV Shows",12,3.4167
Canada,"Action & Adventure",7,6.0000
Canada,Docuseries,7,3.7143
Canada,"Crime TV Shows",7,2.2857
Canada,"Horror Movies",6,5.3333
Canada,Movies,3,9.3333
Canada,"TV Comedies",3,3.0000
Canada,"TV Dramas",3,2.3333
Canada,"International Movies",2,6.5000
Canada,"Stand-Up Comedy",2,6.5000
Canada,"Reality TV",2,5.0000
Canada,Thrillers,2,2.5000
Canada,"Classic & Cult TV",1,4.0000
Canada,"TV Sci-Fi & Fantasy",1,1.0000
"Canada, Australia","Kids' TV",2,7.0000
"Canada, Brazil","Kids' TV",1,7.0000
"Canada, France","Crime TV Shows",1,11.0000
"Canada, France, Italy, Morocco, United States",Documentaries,1,1.0000
"Canada, Germany, France, United States",Comedies,1,6.0000
"Canada, Germany, South Africa","Crime TV Shows",1,1.0000
"Canada, India",Dramas,1,1.0000
"Canada, India, Thailand, United States, United Arab Emirates",Documentaries,1,4.0000
"Canada, Ireland, United States",Documentaries,1,4.0000
"Canada, Japan, Netherlands","International TV Shows",1,1.0000
"Canada, Japan, United States","Children & Family Movies",1,9.0000
"Canada, Luxembourg","Action & Adventure",1,6.0000
"Canada, Mexico, Germany, South Africa","Action & Adventure",1,6.0000
"Canada, Norway",Dramas,1,4.0000
"Canada, Spain",Dramas,1,4.0000
"Canada, Spain, France","Independent Movies",1,6.0000
"Canada, United Kingdom","Kids' TV",1,3.0000
"Canada, United Kingdom","Crime TV Shows",1,1.0000
"Canada, United Kingdom, Netherlands",Documentaries,1,12.0000
"Canada, United Kingdom, United States",Comedies,1,4.0000
"Canada, United Kingdom, United States","TV Horror",1,4.0000
"Canada, United Kingdom, United States","Kids' TV",1,3.0000
"Canada, United States",Dramas,6,6.3333
"Canada, United States",Documentaries,5,3.8000
"Canada, United States",Comedies,4,6.7500
"Canada, United States","Kids' TV",4,6.0000
"Canada, United States","Children & Family Movies",3,5.0000
"Canada, United States","Horror Movies",3,4.3333
"Canada, United States","Crime TV Shows",2,5.5000
"Canada, United States","Action & Adventure",1,6.0000
"Canada, United States",Docuseries,1,4.0000
"Canada, United States","International Movies",1,4.0000
"Canada, United States","Romantic TV Shows",1,4.0000
"Canada, United States","TV Action & Adventure",1,4.0000
"Canada, United States","Classic & Cult TV",1,1.0000
"Canada, United States","International TV Shows",1,1.0000
"Canada, United States","TV Comedies",1,1.0000
"Canada, United States, France","Kids' TV",1,5.0000
"Canada, United States, India, United Kingdom",Comedies,1,6.0000
"Canada, United States, United Kingdom",Dramas,1,6.0000
"Canada, United States, United Kingdom",Documentaries,1,1.0000
Chile,Comedies,4,2.5000
Chile,"International TV Shows",3,4.0000
Chile,"Stand-Up Comedy",3,4.0000
Chile,"Children & Family Movies",1,5.0000
Chile,"International Movies",1,4.0000
"Chile, Argentina",Dramas,1,4.0000
"Chile, Argentina, France, Spain, United States",Dramas,1,6.0000
"Chile, France",Dramas,1,4.0000
"Chile, Peru",Dramas,1,4.0000
"Chile, Spain, Argentina, Germany",Dramas,1,12.0000
"Chile, United States, France",Dramas,1,12.0000
China,"International TV Shows",24,2.6667
China,"Action & Adventure",6,3.0000
China,Comedies,5,3.4000
China,Dramas,4,3.2500
China,"Crime TV Shows",3,3.0000
China,"International Movies",3,2.0000
China,"Children & Family Movies",1,11.0000
China,"Kids' TV",1,7.0000
China,Docuseries,1,2.0000
"China, Canada, United States","Children & Family Movies",1,5.0000
"China, Germany, India, United States",Documentaries,1,1.0000
"China, Hong Kong","Action & Adventure",12,5.0833
"China, Hong Kong",Comedies,1,4.0000
"China, Hong Kong","Crime TV Shows",1,4.0000
"China, Hong Kong",Dramas,1,1.0000
"China, Hong Kong, United States","Action & Adventure",1,10.0000
"China, India, Nepal","Action & Adventure",1,5.0000
"China, Japan","Anime Features",1,5.0000
"China, Morocco, Hong Kong","Action & Adventure",1,4.0000
"China, South Korea, United States",Documentaries,1,12.0000
"China, Taiwan","International Movies",1,5.0000
"China, United Kingdom","British TV Shows",1,3.0000
"China, United States","Action & Adventure",1,1.0000
"China, United States, Australia",Comedies,1,5.0000
"China, United States, United Kingdom","Children & Family Movies",1,8.0000
Colombia,"Crime TV Shows",12,3.2500
Colombia,Comedies,4,3.2500
Colombia,"International TV Shows",4,1.7500
Colombia,"Stand-Up Comedy",3,4.0000
Colombia,Documentaries,1,5.0000
Colombia,Dramas,1,4.0000
"Colombia, Mexico",Comedies,1,1.0000
"Colombia, Mexico, United States","Crime TV Shows",1,1.0000
"Colombia, Mexico, United States","International TV Shows",1,1.0000
"Colombia, United States","International TV Shows",1,1.0000
Croatia,"International TV Shows",1,4.0000
"Croatia, Slovenia, Serbia, Montenegro",Dramas,1,12.0000
"Cyprus, Austria, Thailand","Kids' TV",1,2.0000
"Czech Republic, France",Documentaries,1,4.0000
"Czech Republic, Slovakia",Dramas,1,1.0000
"Czech Republic, United Kingdom, France","Action & Adventure",1,6.0000
"Czech Republic, United States",Dramas,1,4.0000
"Czech Republic, United States",Docuseries,1,1.0000
Denmark,"International TV Shows",4,3.2500
Denmark,Dramas,3,5.6667
Denmark,"Kids' TV",2,5.0000
Denmark,"Crime TV Shows",1,4.0000
Denmark,Documentaries,1,4.0000
Denmark,"Children & Family Movies",1,2.0000
"Denmark, Brazil, France, Portugal, Sweden",Dramas,1,4.0000
"Denmark, China","Action & Adventure",1,11.0000
"Denmark, France, Italy, Belgium, Netherlands","International Movies",1,6.0000
"Denmark, France, Poland",Dramas,1,1.0000
"Denmark, France, United States, Sweden","Cult Movies",1,6.0000
"Denmark, Germany, Belgium, United Kingdom, France",Dramas,1,12.0000
"Denmark, Germany, Belgium, United Kingdom, France, Sweden",Dramas,1,4.0000
"Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands",Documentaries,1,10.0000
"Denmark, Singapore, Canada, United States","Kids' TV",1,11.0000
"Denmark, Spain",Documentaries,1,1.0000
"Denmark, Sweden, Israel, United States",Documentaries,1,4.0000
"Denmark, United Kingdom",Dramas,1,12.0000
"Denmark, United Kingdom, South Africa, Sweden, Belgium",Dramas,1,6.0000
"Denmark, United States",Documentaries,1,4.0000
"Denmark, United States","International TV Shows",1,4.0000
"Denmark, Zimbabwe",Documentaries,1,12.0000
"Dominican Republic",Documentaries,1,1.0000
Egypt,Comedies,22,1.8182
Egypt,Dramas,9,2.3333
Egypt,"Action & Adventure",7,3.5714
Egypt,"International TV Shows",7,2.7143
Egypt,"Crime TV Shows",1,1.0000
Egypt,"Horror Movies",1,1.0000
Egypt,"International Movies",1,1.0000
Egypt,"Children & Family Movies",1,1.0000
"Egypt, Austria, United States",Dramas,1,1.0000
"Egypt, France",Dramas,1,1.0000
Finland,"Kids' TV",1,2.0000
"Finland, France","Crime TV Shows",1,4.0000
"Finland, Germany","Crime TV Shows",1,4.0000
"Finland, Germany, Belgium","Action & Adventure",1,4.0000
"Finland, Sweden, Norway, Latvia, Germany",Dramas,1,4.0000
France,Dramas,15,4.4000
France,"Kids' TV",13,4.7692
France,"Crime TV Shows",11,4.0000
France,Comedies,11,3.3636
France,"International TV Shows",11,3.1818
France,Documentaries,10,2.4000
France,"Action & Adventure",5,3.4000
France,"Stand-Up Comedy",4,4.0000
France,"Children & Family Movies",2,8.0000
France,Docuseries,2,2.5000
France,"International Movies",1,4.0000
"France, Belgium",Comedies,8,3.6250
"France, Belgium",Dramas,6,4.3333
"France, Belgium","Children & Family Movies",3,6.3333
"France, Belgium","Action & Adventure",3,6.0000
"France, Belgium","Crime TV Shows",2,4.0000
"France, Belgium","Cult Movies",1,12.0000
"France, Belgium, China, United States",Dramas,1,6.0000
"France, Belgium, Spain",Dramas,1,14.0000
"France, Canada","Children & Family Movies",2,7.5000
"France, Canada","International TV Shows",1,4.0000
"France, Canada, Belgium","Action & Adventure",1,8.0000
"France, China, Canada","Action & Adventure",1,10.0000
"France, China, Japan, United States","Children & Family Movies",1,8.0000
"France, Germany",Docuseries,1,1.0000
"France, Germany, Czech Republic, Belgium",Dramas,1,6.0000
"France, Germany, Switzerland",Dramas,1,6.0000
"France, Iran, United States",Dramas,1,6.0000
"France, Luxembourg, Canada","Children & Family Movies",1,8.0000
"France, Luxembourg, United States","Children & Family Movies",1,5.0000
"France, Morocco",Dramas,1,4.0000
"France, Netherlands, Singapore",Dramas,1,4.0000
"France, Netherlands, South Africa, Finland",Documentaries,1,1.0000
"France, Poland",Dramas,1,10.0000
"France, Qatar",Dramas,1,4.0000
"France, Senegal, Belgium",Dramas,1,1.0000
"France, South Korea, Japan","Kids' TV",1,7.0000
"France, South Korea, Japan",Movies,1,7.0000
"France, Switzerland, Spain, United States, United Arab Emirates",Documentaries,1,9.0000
"France, United Kingdom","Kids' TV",1,3.0000
"France, United Kingdom, India",Dramas,1,12.0000
"France, United Kingdom, United States","Kids' TV",1,3.0000
"France, United States","Horror Movies",1,10.0000
"France, United States","Kids' TV",1,7.0000
"France, United States","Action & Adventure",1,4.0000
"France, United States","Crime TV Shows",1,1.0000
"France, United States, Canada","Kids' TV",1,3.0000
"France, United States, Mexico",Dramas,1,6.0000
Georgia,Documentaries,1,5.0000
"Georgia, Germany, France",Dramas,1,1.0000
Germany,Dramas,9,7.1111
Germany,Comedies,6,5.6667
Germany,"Children & Family Movies",6,2.5000
Germany,"Crime TV Shows",5,4.0000
Germany,Documentaries,5,3.2000
Germany,"Action & Adventure",2,5.0000
Germany,"International TV Shows",2,4.0000
Germany,"Stand-Up Comedy",2,4.0000
Germany,"Horror Movies",2,3.5000
Germany,"International Movies",1,4.0000
"Germany, Australia","Kids' TV",1,7.0000
"Germany, Australia",Dramas,1,5.0000
"Germany, Belgium",Documentaries,1,5.0000
"Germany, Canada, United States",Dramas,1,6.0000
"Germany, France, Luxembourg, United Kingdom, United States",Dramas,1,6.0000
"Germany, France, Russia",Docuseries,1,5.0000
"Germany, Italy",Documentaries,1,1.0000
"Germany, Jordan, Netherlands",Comedies,1,1.0000
"Germany, Sri Lanka",Documentaries,1,2.0000
"Germany, United Kingdom","Children & Family Movies",1,8.0000
"Germany, United Kingdom",Comedies,1,6.0000
"Germany, United Kingdom, United States","Action & Adventure",1,8.0000
"Germany, United States","Action & Adventure",2,6.0000
"Germany, United States","Children & Family Movies",1,9.0000
"Germany, United States",Dramas,1,6.0000
"Germany, United States","Crime TV Shows",1,4.0000
"Germany, United States, Canada",Comedies,1,10.0000
"Germany, United States, Canada",Dramas,1,4.0000
"Germany, United States, Hong Kong, Singapore","Action & Adventure",1,6.0000
"Germany, United States, Italy","Kids' TV",1,3.0000
"Germany, United States, Sweden",Documentaries,1,1.0000
"Ghana, United States",Dramas,1,1.0000
Guatemala,Dramas,1,4.0000
"Hong Kong","Action & Adventure",28,3.9286
"Hong Kong",Comedies,13,3.1538
"Hong Kong",Dramas,7,4.0000
"Hong Kong","International TV Shows",1,4.0000
"Hong Kong","International Movies",1,4.0000
"Hong Kong","Crime TV Shows",1,1.0000
"Hong Kong, China","Action & Adventure",15,4.4667
"Hong Kong, China",Comedies,1,1.0000
"Hong Kong, China, Singapore","Action & Adventure",1,6.0000
"Hong Kong, China, United States","Action & Adventure",1,4.0000
"Hong Kong, Taiwan",Dramas,1,5.0000
"Hong Kong, United States","Action & Adventure",2,6.0000
"Hong Kong, United States","Children & Family Movies",1,8.0000
Hungary,"Action & Adventure",1,4.0000
Hungary,Dramas,1,4.0000
Iceland,"Action & Adventure",1,4.0000
Iceland,"Crime TV Shows",1,4.0000
Iceland,"Horror Movies",1,4.0000
"Iceland, Sweden, Belgium",Dramas,1,1.0000
India,Dramas,294,3.0850
India,Comedies,174,2.6609
India,"Action & Adventure",105,2.5333
India,"International TV Shows",36,2.4722
India,"International Movies",22,2.4091
India,"Horror Movies",20,2.8000
India,Documentaries,17,3.0588
India,"Children & Family Movies",10,5.9000
India,Docuseries,5,2.8000
India,"Crime TV Shows",5,1.6000
India,"Kids' TV",4,4.7500
India,"Classic Movies",2,8.5000
India,"TV Shows",2,2.5000
India,"Stand-Up Comedy",1,4.0000
"India, Australia",Dramas,1,5.0000
"India, Canada","Action & Adventure",1,1.0000
"India, France",Dramas,4,3.5000
"India, Germany",Dramas,1,4.0000
"India, Germany, Austria",Dramas,1,5.0000
"India, Germany, France","Kids' TV",1,7.0000
"India, Iran",Dramas,1,1.0000
"India, Japan",Dramas,1,4.0000
"India, Malaysia",Comedies,1,5.0000
"India, Mexico","Children & Family Movies",1,11.0000
"India, Nepal",Comedies,1,5.0000
"India, Pakistan",Dramas,1,1.0000
"India, Soviet Union",Dramas,2,3.0000
"India, Switzerland",Dramas,1,4.0000
"India, Turkey","Horror Movies",3,4.0000
"India, United Kingdom",Comedies,1,4.0000
"India, United States",Dramas,2,2.5000
"India, United States","Children & Family Movies",1,5.0000
"India, United States",Documentaries,1,5.0000
"India, United States","Crime TV Shows",1,4.0000
"India, United States","Horror Movies",1,4.0000
"India, United States",Comedies,1,1.0000
Indonesia,Dramas,22,2.7727
Indonesia,"Horror Movies",9,3.3333
Indonesia,Comedies,6,1.6667
Indonesia,"Children & Family Movies",3,5.0000
Indonesia,"Action & Adventure",2,5.0000
Indonesia,"International TV Shows",1,5.0000
"Indonesia, Singapore","Action & Adventure",1,4.0000
"Indonesia, Singapore",Dramas,1,1.0000
"Indonesia, United States","Action & Adventure",1,4.0000
